run,policyAlpha,questionerAlpha,R1Alpha,relevanceBetaR0,relevanceBetaR1,costWeight,questionCost,utilTarget,utilCompetitor,utilSameCat,utilOtherCat,scenario,support,prob
1,2.602215163875371,3.7918463189853355,3.0163996445480734,0,0.9526188306324184,1.008475181995891,0.2501898499438539,100,47,54,15,bar-tea,no.competitor+sameCat,0.9497829316405324
1,2.602215163875371,3.7918463189853355,3.0163996445480734,0,0.9526188306324184,1.008475181995891,0.2501898499438539,100,47,54,15,bar-tea,no.competitor+sameCat+otherCat,0.0502170353343071
1,2.602215163875371,3.7918463189853355,3.0163996445480734,0,0.9526188306324184,1.008475181995891,0.2501898499438539,100,47,54,15,bar-tea,no.competitor,3.3025160246650096e-8
1,2.602215163875371,3.7918463189853355,3.0163996445480734,0,0.9526188306324184,1.008475181995891,0.2501898499438539,100,47,54,15,bar-tea,no.---,1.5918757141837533e-27
1,2.602215163875371,3.7918463189853355,3.0163996445480734,0,0.9526188306324184,1.008475181995891,0.2501898499438539,100,47,54,15,bar-tea,no.otherCat,7.161824169292921e-34
2,2.544715190422721,3.893577326554805,2.7637085240567103,0,0.9696448259567841,1.411312229000032,0.25948529690504074,88,52,37,16,bar-whiteWine,no.competitor,0.9785648627280038
2,2.544715190422721,3.893577326554805,2.7637085240567103,0,0.9696448259567841,1.411312229000032,0.25948529690504074,88,52,37,16,bar-whiteWine,no.competitor+sameCat,0.02098511591251845
2,2.544715190422721,3.893577326554805,2.7637085240567103,0,0.9696448259567841,1.411312229000032,0.25948529690504074,88,52,37,16,bar-whiteWine,no.competitor+sameCat+otherCat,4.5002135947767586e-4
2,2.544715190422721,3.893577326554805,2.7637085240567103,0,0.9696448259567841,1.411312229000032,0.25948529690504074,88,52,37,16,bar-whiteWine,no.---,5.172076295659537e-25
2,2.544715190422721,3.893577326554805,2.7637085240567103,0,0.9696448259567841,1.411312229000032,0.25948529690504074,88,52,37,16,bar-whiteWine,no.otherCat,5.242410490630457e-31
3,2.512324409559369,3.8880908533465117,2.9107292814878747,0,0.9562418521801009,0.7073464111890644,0.27417884843889623,99,100,79,17,bookingAgency-highClassAccommodation,no.competitor,0.856744231486408
3,2.512324409559369,3.8880908533465117,2.9107292814878747,0,0.9562418521801009,0.7073464111890644,0.27417884843889623,99,100,79,17,bookingAgency-highClassAccommodation,no.competitor+sameCat,0.12501402688008312
3,2.512324409559369,3.8880908533465117,2.9107292814878747,0,0.9562418521801009,0.7073464111890644,0.27417884843889623,99,100,79,17,bookingAgency-highClassAccommodation,no.competitor+sameCat+otherCat,0.018241741633508852
3,2.512324409559369,3.8880908533465117,2.9107292814878747,0,0.9562418521801009,0.7073464111890644,0.27417884843889623,99,100,79,17,bookingAgency-highClassAccommodation,no.---,1.4112935334279053e-62
3,2.512324409559369,3.8880908533465117,2.9107292814878747,0,0.9562418521801009,0.7073464111890644,0.27417884843889623,99,100,79,17,bookingAgency-highClassAccommodation,no.otherCat,1.6079134319790485e-79
4,2.6835201412905008,4.203272380284034,3.229425194207579,0,0.9579749921616166,1.0549222597619519,0.27943632802926005,66,100,100,100,bookingAgency-lowClassAccommodation,no.otherCat,0.49072194336453073
4,2.6835201412905008,4.203272380284034,3.229425194207579,0,0.9579749921616166,1.0549222597619519,0.27943632802926005,66,100,100,100,bookingAgency-lowClassAccommodation,no.competitor,0.49072194336453073
4,2.6835201412905008,4.203272380284034,3.229425194207579,0,0.9579749921616166,1.0549222597619519,0.27943632802926005,66,100,100,100,bookingAgency-lowClassAccommodation,no.competitor+sameCat,0.017902961264259394
4,2.6835201412905008,4.203272380284034,3.229425194207579,0,0.9579749921616166,1.0549222597619519,0.27943632802926005,66,100,100,100,bookingAgency-lowClassAccommodation,no.competitor+sameCat+otherCat,6.531520066790971e-4
