run,policyAlpha,questionerAlpha,R1Alpha,relevanceBetaR0,relevanceBetaR1,costWeight,questionCost,scenario,support,prob
1,1.6209267259465436,0.40469507062262267,1.7734935546495625,0.06467377870626421,0.9761561454065326,0.6738985927474935,0.38360313158236714,art-painting,no.otherCat,0.43141248949719607
1,1.6209267259465436,0.40469507062262267,1.7734935546495625,0.06467377870626421,0.9761561454065326,0.6738985927474935,0.38360313158236714,art-painting,no.competitor,0.43141248949719607
1,1.6209267259465436,0.40469507062262267,1.7734935546495625,0.06467377870626421,0.9761561454065326,0.6738985927474935,0.38360313158236714,art-painting,no.competitor+sameCat,0.13717502100560794
1,1.6209267259465436,0.40469507062262267,1.7734935546495625,0.06467377870626421,0.9761561454065326,0.6738985927474935,0.38360313158236714,art-painting,no.---,5.179926409971371e-41
2,2.950942376115363,1.6194583233090425,1.6167138310327376,0.6400432240052593,0.9639459485702117,0.9849994478001924,0.20780015963186355,umbrella-rain,no.competitor,0.8249868022540925
2,2.950942376115363,1.6194583233090425,1.6167138310327376,0.6400432240052593,0.9639459485702117,0.9849994478001924,0.20780015963186355,umbrella-rain,no.competitor+sameCat,0.17501319774590748
2,2.950942376115363,1.6194583233090425,1.6167138310327376,0.6400432240052593,0.9639459485702117,0.9849994478001924,0.20780015963186355,umbrella-rain,no.---,2.165989128010421e-24
2,2.950942376115363,1.6194583233090425,1.6167138310327376,0.6400432240052593,0.9639459485702117,0.9849994478001924,0.20780015963186355,umbrella-rain,no.otherCat,2.737205768970934e-29
3,3.1320054585712813,1.4982811076665463,1.0663834253344109,0.6496249144249555,0.9510037597335833,0.7207517159209487,0.48342939781800726,broom-snow,no.competitor,0.6716321342192582
3,3.1320054585712813,1.4982811076665463,1.0663834253344109,0.6496249144249555,0.9510037597335833,0.7207517159209487,0.48342939781800726,broom-snow,no.competitor+sameCat,0.3283678657807419
3,3.1320054585712813,1.4982811076665463,1.0663834253344109,0.6496249144249555,0.9510037597335833,0.7207517159209487,0.48342939781800726,broom-snow,no.---,4.461568432599256e-23
3,3.1320054585712813,1.4982811076665463,1.0663834253344109,0.6496249144249555,0.9510037597335833,0.7207517159209487,0.48342939781800726,broom-snow,no.otherCat,5.605433416603935e-29
4,1.6673442038725117,2.5413561425176634,1.1842096665211979,0.49807932823908063,0.9861662806576552,0.7342403894807215,0.47378378991201253,bottle-water,no.competitor,0.7012901360164894
4,1.6673442038725117,2.5413561425176634,1.1842096665211979,0.49807932823908063,0.9861662806576552,0.7342403894807215,0.47378378991201253,bottle-water,no.competitor+sameCat,0.2987098639835106
4,1.6673442038725117,2.5413561425176634,1.1842096665211979,0.49807932823908063,0.9861662806576552,0.7342403894807215,0.47378378991201253,bottle-water,no.---,2.0796677759454352e-19
4,1.6673442038725117,2.5413561425176634,1.1842096665211979,0.49807932823908063,0.9861662806576552,0.7342403894807215,0.47378378991201253,bottle-water,no.otherCat,2.5584768516371688e-24
5,3.4788777492024408,0.04362680508624191,1.9384845656353957,0.2595909729122469,0.977985408143365,0.9142969956560468,0.005067904841649395,candy-dessert,no.competitor,0.8507499443917071
5,3.4788777492024408,0.04362680508624191,1.9384845656353957,0.2595909729122469,0.977985408143365,0.9142969956560468,0.005067904841649395,candy-dessert,no.competitor+sameCat,0.14925005560829288
5,3.4788777492024408,0.04362680508624191,1.9384845656353957,0.2595909729122469,0.977985408143365,0.9142969956560468,0.005067904841649395,candy-dessert,no.---,5.761919705657386e-25
5,3.4788777492024408,0.04362680508624191,1.9384845656353957,0.2595909729122469,0.977985408143365,0.9142969956560468,0.005067904841649395,candy-dessert,no.otherCat,2.6514928374799316e-30
6,3.5907201913347935,1.0859977886750225,1.4744662143497198,0.4903917703781017,0.9818644022214682,0.8945279767647896,0.485411083201297,sweatpants-spill,no.competitor,0.7856142082623677
6,3.5907201913347935,1.0859977886750225,1.4744662143497198,0.4903917703781017,0.9818644022214682,0.8945279767647896,0.485411083201297,sweatpants-spill,no.competitor+sameCat,0.2143857917376323
6,3.5907201913347935,1.0859977886750225,1.4744662143497198,0.4903917703781017,0.9818644022214682,0.8945279767647896,0.485411083201297,sweatpants-spill,no.---,5.220465301698328e-20
6,3.5907201913347935,1.0859977886750225,1.4744662143497198,0.4903917703781017,0.9818644022214682,0.8945279767647896,0.485411083201297,sweatpants-spill,no.otherCat,3.2550037722697176e-24
7,3.0198650891268484,2.6256084374912447,1.563361742342646,0.6720293480395583,0.9438093832187242,0.9418310629904413,0.44803922569662313,blanket-transportation,no.competitor,0.8034417720695557
7,3.0198650891268484,2.6256084374912447,1.563361742342646,0.6720293480395583,0.9438093832187242,0.9418310629904413,0.44803922569662313,blanket-transportation,no.competitor+sameCat,0.19655685489950914
7,3.0198650891268484,2.6256084374912447,1.563361742342646,0.6720293480395583,0.9438093832187242,0.9418310629904413,0.44803922569662313,blanket-transportation,no.otherCat,1.3730309351208258e-6
7,3.0198650891268484,2.6256084374912447,1.563361742342646,0.6720293480395583,0.9438093832187242,0.9418310629904413,0.44803922569662313,blanket-transportation,no.---,1.0550995712969733e-21
8,4.195433025399705,2.7845761275831227,1.0490078547023316,0.6969878945903578,0.95063561603944,0.6243666782668487,0.10992026593615659,sugar-baking,no.competitor,0.6418301371498857
